00:00:C3 Harris Corporation
00:00:C5 ARRIS Group, Inc.
00:00:CA ARRIS Group, Inc.
00:02:68 Harris Government Communications
00:03:E0 ARRIS Group, Inc.
00:04:BD ARRIS Group, Inc.
00:06:EC Harris Corporation
00:08:0E ARRIS Group, Inc.
00:0B:06 ARRIS Group, Inc.
00:0C:E5 ARRIS Group, Inc.
00:0E:5C ARRIS Group, Inc.
00:0F:9F ARRIS Group, Inc.
00:0F:CC ARRIS Group, Inc.
00:11:1A ARRIS Group, Inc.
00:11:80 ARRIS Group, Inc.
00:11:AE ARRIS Group, Inc.
00:12:25 ARRIS Group, Inc.
00:12:8A ARRIS Group, Inc.
00:12:C9 ARRIS Group, Inc.
00:13:11 ARRIS Group, Inc.
00:13:71 ARRIS Group, Inc.
00:14:04 ARRIS Group, Inc.
00:14:9A ARRIS Group, Inc.
00:14:E8 ARRIS Group, Inc.
00:15:2F ARRIS Group, Inc.
00:15:96 ARRIS Group, Inc.
00:15:9A ARRIS Group, Inc.
00:15:A2 ARRIS Group, Inc.
00:15:A3 ARRIS Group, Inc.
00:15:A4 ARRIS Group, Inc.
00:15:A8 ARRIS Group, Inc.
00:15:CE ARRIS Group, Inc.
00:15:CF ARRIS Group, Inc.
00:15:D0 ARRIS Group, Inc.
00:15:D1 ARRIS Group, Inc.
00:16:26 ARRIS Group, Inc.
00:16:75 ARRIS Group, Inc.
00:16:B5 ARRIS Group, Inc.
00:17:00 ARRIS Group, Inc.
00:17:84 ARRIS Group, Inc.
00:17:E2 ARRIS Group, Inc.
00:17:EE ARRIS Group, Inc.
00:17:F3 Harris Corporation
00:18:A4 ARRIS Group, Inc.
00:18:C0 ARRIS Group, Inc.
00:19:2C ARRIS Group, Inc.
00:19:5E ARRIS Group, Inc.
00:19:A6 ARRIS Group, Inc.
00:19:C0 ARRIS Group, Inc.
00:1A:1B ARRIS Group, Inc.
00:1A:66 ARRIS Group, Inc.
00:1A:77 ARRIS Group, Inc.
00:1A:AD ARRIS Group, Inc.
00:1A:DB ARRIS Group, Inc.
00:1A:DE ARRIS Group, Inc.
00:1B:52 ARRIS Group, Inc.
00:1B:DD ARRIS Group, Inc.
00:1C:11 ARRIS Group, Inc.
00:1C:12 ARRIS Group, Inc.
00:1C:C1 ARRIS Group, Inc.
00:1C:C3 ARRIS Group, Inc.
00:1C:FB ARRIS Group, Inc.
00:1D:6B ARRIS Group, Inc.
00:1D:BE ARRIS Group, Inc.
00:1D:CD ARRIS Group, Inc.
00:1D:CE ARRIS Group, Inc.
00:1D:CF ARRIS Group, Inc.
00:1D:D0 ARRIS Group, Inc.
00:1D:D1 ARRIS Group, Inc.
00:1D:D2 ARRIS Group, Inc.
00:1D:D3 ARRIS Group, Inc.
00:1D:D4 ARRIS Group, Inc.
00:1D:D5 ARRIS Group, Inc.
00:1D:D6 ARRIS Group, Inc.
00:1E:46 ARRIS Group, Inc.
00:1E:5A ARRIS Group, Inc.
00:1E:8D ARRIS Group, Inc.
00:1F:7E ARRIS Group, Inc.
00:1F:C4 ARRIS Group, Inc.
00:20:40 ARRIS Group, Inc.
00:21:1E ARRIS Group, Inc.
00:21:36 ARRIS Group, Inc.
00:21:43 ARRIS Group, Inc.
00:21:80 ARRIS Group, Inc.
00:22:10 ARRIS Group, Inc.
00:22:B4 ARRIS Group, Inc.
00:23:0B ARRIS Group, Inc.
00:23:74 ARRIS Group, Inc.
00:23:75 ARRIS Group, Inc.
00:23:95 ARRIS Group, Inc.
00:23:A2 ARRIS Group, Inc.
00:23:A3 ARRIS Group, Inc.
00:23:AF ARRIS Group, Inc.
00:23:ED ARRIS Group, Inc.
00:23:EE ARRIS Group, Inc.
00:24:93 ARRIS Group, Inc.
00:24:95 ARRIS Group, Inc.
00:24:A0 ARRIS Group, Inc.
00:24:A1 ARRIS Group, Inc.
00:24:C1 ARRIS Group, Inc.
00:25:F1 ARRIS Group, Inc.
00:25:F2 ARRIS Group, Inc.
